Station Counts by State and Fuel Type,,,,,,,,
State,Biodiesel,CNG,E85,,,LNG,,Total
,,,,Electric,,,,
,,,,(stations|charging outlets),Hydrogen,,Propane,
Alabama,10,27,34,195 | 506,0,2,72,651
,,,,,,,,
Alaska,0,1,0,19 | 34,0,0,5,40
,,,,,,,,
Arizona,78,30,22,"522 | 1,476",1,8,75,1690
,,,,,,,,
Arkansas,3,16,47,98 | 290,0,1,37,394
,,,,,,,,
California,29,321,195,"6,435 | 27,128",48,44,273,28038
,,,,,,,,
Colorado,8,35,84,"861 | 2,516",1,1,52,2697
,,,,,,,,
Connecticut,2,17,3,"422 | 1,048",2,0,21,1093
,,,,,,,,
Delaware,1,2,1,57 | 172,1,0,9,186
,,,,,,,,
District of Columbia,7,2,3,172 | 553,1,0,0,566
,,,,,,,,
Florida,10,61,88,"1,562 | 4,562",0,3,134,4858
,,,,,,,,
Georgia,6,50,52,"882 | 2,939",0,4,89,3140
,,,,,,,,
Hawaii,7,0,2,296 | 666,2,1,2,680
,,,,,,,,
Idaho,0,11,4,95 | 216,0,0,30,261
,,,,,,,,
Illinois,19,42,279,"663 | 1,864",0,2,100,2306
,,,,,,,,
Indiana,3,34,221,239 | 614,0,1,65,938
,,,,,,,,
Iowa,11,11,300,141 | 348,0,0,34,704
,,,,,,,,
Kansas,1,21,38,234 | 904,0,1,37,1002
,,,,,,,,
Kentucky,3,10,71,133 | 315,0,2,32,433
,,,,,,,,
Louisiana,2,23,14,107 | 293,0,1,59,392
,,,,,,,,
Maine,4,1,1,184 | 433,0,0,13,452
,,,,,,,,
Maryland,11,13,39,"738 | 2,110",0,0,31,2204
,,,,,,,,
Massachusetts,10,15,6,"811 | 2,455",2,1,32,2521
,,,,,,,,
Michigan,9,21,241,"616 | 1,429",2,0,100,1802
,,,,,,,,
Minnesota,16,26,430,"380 | 1,051",0,0,47,1570
,,,,,,,,
Mississippi,2,6,6,81 | 292,0,2,83,391
,,,,,,,,
Missouri,2,20,111,"452 | 1,895",0,1,73,2102
,,,,,,,,
Montana,3,1,1,55 | 137,0,0,41,183
,,,,,,,,
Nebraska,3,8,97,95 | 238,0,1,28,375
,,,,,,,,
Nevada,2,6,12,284 | 927,0,1,28,976
,,,,,,,,
New Hampshire,2,4,0,121 | 244,0,0,27,277
,,,,,,,,
New Jersey,4,27,6,"457 | 1,297",0,0,17,1351
,,,,,,,,
New Mexico,3,11,14,82 | 245,0,1,62,336
,,,,,,,,
New York,34,69,71,"1,655 | 4,531",1,0,59,4765
,,,,,,,,
North Carolina,114,40,89,"732 | 1,903",0,2,75,2223
,,,,,,,,
North Dakota,2,1,41,28 | 46,0,0,24,114
,,,,,,,,
Ohio,13,60,180,"540 | 1,342",1,5,90,1691
,,,,,,,,
Oklahoma,3,118,56,131 | 309,0,1,130,617
,,,,,,,,
Oregon,47,16,9,"721 | 1,893",0,2,57,2024
,,,,,,,,
Pennsylvania,5,88,125,"572 | 1,475",0,3,107,1803
,,,,,,,,
Rhode Island,5,4,0,113 | 407,0,0,4,420
,,,,,,,,
South Carolina,34,12,53,286 | 643,1,1,59,803
,,,,,,,,
South Dakota,0,0,83,41 | 127,0,0,23,233
,,,,,,,,
Tennessee,8,24,73,"453 | 1,207",0,4,65,1381
,,,,,,,,
Texas,22,108,232,"1,376 | 4,009",0,16,460,4847
,,,,,,,,
Utah,0,51,2,289 | 950,0,2,39,1044
,,,,,,,,
Vermont,2,3,0,237 | 664,0,0,1,670
,,,,,,,,
Virginia,10,24,58,"710 | 2,056",0,2,88,2238
,,,,,,,,
Washington,37,24,20,"1,095 | 3,206",1,1,82,3371
,,,,,,,,
West Virginia,0,3,34,89 | 244,0,0,14,295
,,,,,,,,
Wisconsin,4,50,227,345 | 711,0,1,66,1059
,,,,,,,,
Wyoming,0,8,11,57 | 159,0,0,25,203
,,,,,,,,
Total,611,1576,3786,"26,959 | 85,079",64,118,3176,94410
,,,,"26,959 | 85,079",,,,
