Station Counts by State and Fuel Type,,,,,,,,
State,Biodiesel,CNG,E85,,,LNG,,Total
,,,,Electric,,,,
,,,,(stations|charging outlets),Hydrogen,,Propane,
Alabama,5,32,32,113 | 227,0,2,92,390
,,,,,,,,
Alaska,0,1,0,3|5 ,0,0,7,13
,,,,,,,,
Arizona,76,36,25,"424 | 1,016",0,8,93,1254
,,,,,,,,
Arkansas,5,17,44,63 | 91,0,1,45,203
,,,,,,,,
California,42,319,119,"4,175 | 14,084",39,44,322,14969
,,,,,,,,
Colorado,16,46,88,443 | 990,1,1,59,1201
,,,,,,,,
Connecticut,3,19,4,339 | 723,2,1,22,774
,,,,,,,,
Delaware,1,1,1,30 | 67,1,0,9,80
,,,,,,,,
District of Columbia,8,3,4,101 | 242,1,0,0,258
,,,,,,,,
Florida,14,57,74,"965 | 2,128",0,3,153,2429
,,,,,,,,
Georgia,24,48,56,"587 | 1,508",0,4,96,1736
,,,,,,,,
Hawaii,8,1,2,248 | 566,4,0,6,587
,,,,,,,,
Idaho,2,11,6,60 | 134,0,6,34,193
,,,,,,,,
Illinois,12,56,263,"525 | 1,136",1,2,123,1593
,,,,,,,,
Indiana,6,35,200,196 | 389,0,2,189,821
,,,,,,,,
Iowa,9,10,210,109 | 216,0,0,35,480
,,,,,,,,
Kansas,5,20,21,195 | 725,0,1,41,813
,,,,,,,,
Kentucky,4,11,72,82 | 168,0,1,38,294
,,,,,,,,
Louisiana,2,22,11,79 | 155,0,2,50,242
,,,,,,,,
Maine,3,2,0,110 | 184,0,0,15,204
,,,,,,,,
Maryland,11,16,34,"495 | 1,133",0,1,32,1227
,,,,,,,,
Massachusetts,12,18,7,"506 | 1,256",2,1,35,1331
,,,,,,,,
Michigan,10,27,254,"533 | 1,134",2,0,108,1535
,,,,,,,,
Minnesota,7,25,314,285 | 686,0,0,51,1083
,,,,,,,,
Mississippi,4,5,3,41 | 64,0,2,97,175
,,,,,,,,
Missouri,3,22,92,"295 | 1,163",0,1,68,1349
,,,,,,,,
Montana,7,1,2,36 | 76,0,0,55,141
,,,,,,,,
Nebraska,1,11,80,58 | 116,0,1,28,237
,,,,,,,,
Nevada,4,6,20,173 | 491,0,2,34,557
,,,,,,,,
New Hampshire,4,3,0,97 | 184,0,0,21,212
,,,,,,,,
New Jersey,5,28,5,244 | 506,0,0,21,565
,,,,,,,,
New Mexico,5,14,10,58 | 135,0,1,55,220
,,,,,,,,
New York,35,114,79,"835 | 1,630",1,0,77,1936
,,,,,,,,
North Carolina,122,40,58,"453 | 1,039",0,1,106,1366
,,,,,,,,
North Dakota,3,0,43,7|9 ,0,0,25,80
,,,,,,,,
Ohio,14,59,151,277 | 522,1,6,103,856
,,,,,,,,
Oklahoma,5,125,29,54 | 103,0,1,144,407
,,,,,,,,
Oregon,54,17,10,"541 | 1,271",0,3,61,1416
,,,,,,,,
Pennsylvania,7,68,41,352 | 674,1,3,103,897
,,,,,,,,
Rhode Island,6,5,0,80 | 204,0,0,7,222
,,,,,,,,
South Carolina,25,12,67,200 | 376,1,1,53,535
,,,,,,,,
South Dakota,2,1,75,23 | 40,0,0,27,145
,,,,,,,,
Tennessee,32,19,79,428 | 993,0,5,88,1216
,,,,,,,,
Texas,17,132,193,"1,001 | 2,440",1,20,487,3290
,,,,,,,,
Utah,1,90,1,127 | 298,0,8,48,446
,,,,,,,,
Vermont,3,3,1,161 | 389,0,0,2,398
,,,,,,,,
Virginia,11,21,22,424 | 995,0,2,88,1139
,,,,,,,,
Washington,40,27,21,"738 | 1,833",0,2,90,2013
,,,,,,,,
West Virginia,2,4,11,43 | 96,0,0,13,126
,,,,,,,,
Wisconsin,5,57,151,279 | 451,0,1,69,734
,,,,,,,,
Wyoming,14,13,10,32 | 63,0,0,29,129
,,,,,,,,
Total,716,1730,3095,"17,723 | 45,124",58,140,3654,54517
,,,,"17,723 | 45,124",,,,
