Model Full,Displ,Cyl,Trans,Drive,Fuel,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2,Make,Model
PORSCHE 718 Spyder,3.7,6,Man-6,2WD,Gasoline,small car,5,17,23,19,4,No,462,PORSCHE,718 Spyder
PORSCHE 911 Carrera,3,6,AMS-8,2WD,Gasoline,small car,5,18,24,20,4,No,443,PORSCHE,911 Carrera
PORSCHE 911 Carrera 4,3,6,AMS-8,4WD,Gasoline,small car,5,18,24,20,4,No,442,PORSCHE,911 Carrera 4
PORSCHE 911 Carrera 4 Cabriolet,3,6,AMS-8,4WD,Gasoline,small car,5,18,24,20,4,No,443,PORSCHE,911 Carrera 4 Cabriolet
PORSCHE 911 Carrera 4 GTS,3,6,AMS-8,4WD,Gasoline,small car,5,17,23,19,4,No,464,PORSCHE,911 Carrera 4 GTS
PORSCHE 911 Carrera 4 GTS,3,6,Man-7,4WD,Gasoline,small car,5,17,23,19,4,No,465,PORSCHE,911 Carrera 4 GTS
PORSCHE 911 Carrera 4 GTS Cabriolet,3,6,AMS-8,4WD,Gasoline,small car,5,17,22,19,4,No,463,PORSCHE,911 Carrera 4 GTS Cabriolet
PORSCHE 911 Carrera 4 GTS Cabriolet,3,6,Man-7,4WD,Gasoline,small car,5,16,23,19,4,No,477,PORSCHE,911 Carrera 4 GTS Cabriolet
PORSCHE 911 Carrera 4S,3,6,AMS-8,4WD,Gasoline,small car,5,18,23,20,4,No,443,PORSCHE,911 Carrera 4S
PORSCHE 911 Carrera 4S,3,6,Man-7,4WD,Gasoline,small car,5,17,25,20,4,No,442,PORSCHE,911 Carrera 4S
PORSCHE 911 Carrera 4S Cabriolet,3,6,AMS-8,4WD,Gasoline,small car,5,18,23,20,4,No,439,PORSCHE,911 Carrera 4S Cabriolet
PORSCHE 911 Carrera 4S Cabriolet,3,6,Man-7,4WD,Gasoline,small car,5,17,24,20,4,No,452,PORSCHE,911 Carrera 4S Cabriolet
PORSCHE 911 Carrera Cabriolet,3,6,AMS-8,2WD,Gasoline,small car,5,18,24,20,4,No,443,PORSCHE,911 Carrera Cabriolet
PORSCHE 911 Carrera GTS,3,6,AMS-8,2WD,Gasoline,small car,5,17,23,19,4,No,465,PORSCHE,911 Carrera GTS
PORSCHE 911 Carrera GTS,3,6,Man-7,2WD,Gasoline,small car,5,17,24,20,4,No,444,PORSCHE,911 Carrera GTS
PORSCHE 911 Carrera GTS Cabriolet,3,6,AMS-8,2WD,Gasoline,small car,5,17,23,19,4,No,465,PORSCHE,911 Carrera GTS Cabriolet
PORSCHE 911 Carrera GTS Cabriolet,3,6,Man-7,2WD,Gasoline,small car,5,17,24,20,4,No,448,PORSCHE,911 Carrera GTS Cabriolet
PORSCHE 911 Carrera S,3,6,AMS-8,2WD,Gasoline,small car,5,18,23,20,4,No,441,PORSCHE,911 Carrera S
PORSCHE 911 Carrera S,3,6,Man-7,2WD,Gasoline,small car,5,18,25,21,4,No,425,PORSCHE,911 Carrera S
PORSCHE 911 Carrera S Cabriolet,3,6,AMS-8,2WD,Gasoline,small car,5,18,23,20,4,No,439,PORSCHE,911 Carrera S Cabriolet
PORSCHE 911 Carrera S Cabriolet,3,6,Man-7,2WD,Gasoline,small car,5,17,25,20,4,No,443,PORSCHE,911 Carrera S Cabriolet
PORSCHE 911 GT3,4,6,AMS-7,2WD,Gasoline,small car,3,15,18,16,3,No,538,PORSCHE,911 GT3
PORSCHE 911 GT3,4,6,Man-6,2WD,Gasoline,small car,3,14,18,16,3,No,571,PORSCHE,911 GT3
PORSCHE 911 GT3 Touring,4,6,AMS-7,2WD,Gasoline,small car,3,15,18,16,3,No,539,PORSCHE,911 GT3 Touring
PORSCHE 911 GT3 Touring,4,6,Man-6,2WD,Gasoline,small car,3,14,18,16,3,No,570,PORSCHE,911 GT3 Touring
PORSCHE 911 Sport Classic,3.7,6,Man-7,2WD,Gasoline,small car,5,15,21,17,3,No,516,PORSCHE,911 Sport Classic
PORSCHE 911 Targa 4,3,6,AMS-8,4WD,Gasoline,small car,5,18,24,20,4,No,442,PORSCHE,911 Targa 4
PORSCHE 911 Targa 4 GTS,3,6,AMS-8,4WD,Gasoline,small car,5,17,22,19,4,No,461,PORSCHE,911 Targa 4 GTS
PORSCHE 911 Targa 4 GTS,3,6,Man-7,4WD,Gasoline,small car,5,16,23,19,4,No,477,PORSCHE,911 Targa 4 GTS
PORSCHE 911 Targa 4S,3,6,AMS-8,4WD,Gasoline,small car,5,18,23,20,4,No,442,PORSCHE,911 Targa 4S
PORSCHE 911 Targa 4S,3,6,Man-7,4WD,Gasoline,small car,5,17,24,20,4,No,447,PORSCHE,911 Targa 4S
PORSCHE 911 Turbo,3.7,6,AMS-8,4WD,Gasoline,small car,5,15,20,17,3,No,516,PORSCHE,911 Turbo
PORSCHE 911 Turbo Cabriolet,3.7,6,AMS-8,4WD,Gasoline,small car,5,15,20,17,3,No,521,PORSCHE,911 Turbo Cabriolet
PORSCHE 911 Turbo S,3.7,6,AMS-8,4WD,Gasoline,small car,5,15,20,17,3,No,517,PORSCHE,911 Turbo S
PORSCHE 911 Turbo S Cabriolet,3.7,6,AMS-8,4WD,Gasoline,small car,5,15,20,17,3,No,528,PORSCHE,911 Turbo S Cabriolet
PORSCHE Cayenne,3,6,SemiAuto-8,4WD,Gasoline,standard SUV,5,17,22,19,4,No,466,PORSCHE,Cayenne
PORSCHE Cayenne GTS,4,8,SemiAuto-8,4WD,Gasoline,standard SUV,3,15,19,17,3,No,525,PORSCHE,Cayenne GTS
PORSCHE Cayenne GTS,4,8,SemiAuto-8,4WD,Gasoline,standard SUV,3,15,19,17,3,No,533,PORSCHE,Cayenne GTS
PORSCHE Cayenne S,2.9,6,SemiAuto-8,4WD,Gasoline,standard SUV,5,16,21,18,4,No,490,PORSCHE,Cayenne S
PORSCHE Cayenne S,2.9,6,SemiAuto-8,4WD,Gasoline,standard SUV,5,16,22,18,4,No,494,PORSCHE,Cayenne S
PORSCHE Cayenne Turbo,4,8,SemiAuto-8,4WD,Gasoline,standard SUV,3,14,19,16,3,No,553,PORSCHE,Cayenne Turbo
PORSCHE Cayenne Turbo,4,8,SemiAuto-8,4WD,Gasoline,standard SUV,3,15,20,17,3,No,531,PORSCHE,Cayenne Turbo
PORSCHE Cayenne Turbo GT,4,8,SemiAuto-8,4WD,Gasoline,standard SUV,3,14,19,16,3,No,555,PORSCHE,Cayenne Turbo GT
PORSCHE Cayenne Turbo S E-Hybrid,4,8,SemiAuto-8,4WD,Gasoline/Electricity,standard SUV,3,17/40,20/44,18/42,6,No,320,PORSCHE,Cayenne Turbo S E-Hybrid
PORSCHE Macan,2,4,AMS-7,4WD,Gasoline,small SUV,5,19,25,21,4,No,424,PORSCHE,Macan
PORSCHE Macan GTS,2.9,6,AMS-7,4WD,Gasoline,small SUV,5,17,22,19,4,No,466,PORSCHE,Macan GTS
PORSCHE Macan S,2.9,6,AMS-7,4WD,Gasoline,small SUV,5,17,23,19,4,No,466,PORSCHE,Macan S
PORSCHE Macan T,2,4,AMS-7,4WD,Gasoline,small SUV,5,19,25,21,4,No,417,PORSCHE,Macan T
PORSCHE Panamera,2.9,6,AMS-8,2WD,Gasoline,large car,5,18,24,20,4,No,441,PORSCHE,Panamera
PORSCHE Panamera 4,2.9,6,AMS-8,4WD,Gasoline,large car,5,18,24,20,4,No,441,PORSCHE,Panamera 4
PORSCHE Panamera 4 E-Hybrid,2.9,6,AMS-8,4WD,Gasoline/Electricity,large car,5,21/50,24/54,22/52,7,No,232,PORSCHE,Panamera 4 E-Hybrid
PORSCHE Panamera 4 Executive,2.9,6,AMS-8,4WD,Gasoline,large car,5,17,23,19,4,No,465,PORSCHE,Panamera 4 Executive
PORSCHE Panamera 4 ST,2.9,6,AMS-8,4WD,Gasoline,large car,5,18,23,20,4,No,441,PORSCHE,Panamera 4 ST
PORSCHE Panamera 4S,2.9,6,AMS-8,4WD,Gasoline,large car,5,18,24,20,4,No,445,PORSCHE,Panamera 4S
